k,L,w,Recall@N,AF,QPS,tApprox
4,5,4.0,1,1,16.8557,59.327
4,10,4.0,1,1,17.46,57.2738
4,15,4.0,1,1,19.7026,50.7546
6,5,4.0,1,1,18.2428,54.816
6,10,4.0,1,1,19.3546,51.6674
6,15,4.0,1,1,18.595,53.778
8,5,4.0,1,1,18.2274,54.8624
8,10,4.0,1,1,19.674,50.8286
8,15,4.0,1,1,18.2301,54.8544
